carID,lon1,lat1,speed,AzimuthAngle,passenger,newIndex,OD,lon2,lat2,speed,AzimuthAngle,passenger,newIndex
粤BU15V0,114.021729,22.657707,0,210,1,6,O,113.885605,22.567472,43,140,0,7
粤BU15V0,114.021729,22.657707,0,210,1,8,O,113.886681,22.566507,40,130,0,9
粤BU15V0,114.021729,22.657707,0,210,1,13,O,113.895821,22.55908,32,40,0,14
粤BU15V0,114.021729,22.657707,0,210,1,15,O,113.898094,22.56156,12,40,0,16
粤BU15V0,114.021729,22.657707,0,210,1,17,O,113.901985,22.558817,37,120,0,18
粤BU15V0,114.021729,22.657707,0,210,1,23,O,113.918259,22.552317,16,170,0,24
粤BU15V0,114.021729,22.657707,0,210,1,25,O,113.918343,22.548887,23,170,0,26
粤BU15V0,114.021729,22.657707,0,210,1,30,O,113.927231,22.548977,0,80,0,34
粤BU15V0,114.021729,22.657707,0,210,1,36,O,113.927231,22.548977,0,80,0,37
粤BU15V0,114.021729,22.657707,0,210,1,41,O,113.920792,22.543592,0,60,0,43
粤BU15V0,114.021729,22.657707,0,210,1,47,O,113.924179,22.546968,1,100,0,52
粤BU15V0,113.924179,22.546968,1,100,1,53,O,113.940857,22.542604,45,80,0,58
粤BU15V0,114.021729,22.657707,0,210,1,59,O,113.945358,22.542028,5,190,0,60
粤BU15V0,114.021729,22.657707,0,210,1,64,O,113.942696,22.549627,0,300,0,65
粤BU15V0,113.940689,22.549755,1,260,1,66,O,113.928978,22.508026,50,260,0,86
粤BU15V0,114.021729,22.657707,0,210,1,89,O,113.927299,22.507835,8,110,0,90
粤BU15V0,114.021729,22.657707,0,210,1,92,O,113.930229,22.503218,0,180,0,93
粤BU15V0,114.021729,22.657707,0,210,1,96,O,113.934898,22.50518,1,100,0,97
粤BU15V0,114.021729,22.657707,0,210,1,98,O,113.935181,22.5028,35,180,0,99
粤BU15V0,114.021729,22.657707,0,210,1,101,O,113.935486,22.499044,24,90,0,102
粤BU15V0,114.021729,22.657707,0,210,1,105,O,113.936615,22.50178,0,260,0,107
粤BU15V0,113.936615,22.50178,0,260,1,108,O,113.98925,22.54097,6,350,0,132
粤BU15V0,114.021729,22.657707,0,210,1,133,O,113.987251,22.541555,19,280,0,134
粤BU15V0,114.021729,22.657707,0,210,1,135,O,113.985085,22.544661,33,310,0,136
粤BU15V0,114.021729,22.657707,0,210,1,139,O,113.97271,22.54945,38,310,0,140
粤BU15V0,113.972298,22.551144,26,0,1,141,O,113.927704,22.521694,0,150,0,160
粤BU15V0,114.021729,22.657707,0,210,1,161,O,113.927635,22.521299,8,180,0,162
粤BU15V0,114.021729,22.657707,0,210,1,164,O,113.925758,22.521675,15,350,0,165
粤BU15V0,114.021729,22.657707,0,210,1,168,O,113.926193,22.528721,18,110,0,169
粤BU15V0,114.021729,22.657707,0,210,1,171,O,113.926979,22.527346,7,290,0,172
